# Logfile created on 2026-02-09 02:45:52 +0100 by logger.rb/v1.6.0
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : emwind_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : emwind_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (429912K) : deepco_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430040K) : deepco_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430040K) : mim_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430168K) : edgeseal_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430168K) : edgeseal_bound has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430296K) : substrate_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430296K) : substrate_text has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430424K) : dfpad_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430424K) : dfpad_pillar has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430552K) : dfpad_sbump has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430552K) : thickgateox_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430680K) : pldb_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430680K) : pwell_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430808K) : pwell_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430808K) : pwell_block has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430936K) : ic_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (430936K) : via3_drw has 960 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431064K) : metal4_drw has 50 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431064K) : metal4_pin has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431192K) : metal4_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431320K) : metal4_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431320K) : metal4_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431448K) : metal4_slit has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431448K) : metal4_text has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431448K) : metal4_opc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431576K) : metal4_noqrc has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431576K) : metal4_res has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431704K) : metal4_iprobe has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431704K) : metal4_diffprb has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431832K) : heattrans_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431832K) : heatres_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (431960K) : pempoly_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432088K) : fbe_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432088K) : empoly_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432216K) : ldmos_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432216K) : pbiwind_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432344K) : digisub_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432344K) : nodrc_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432472K) : text_drw has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432472K) : via4_drw has 2000 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432472K) : metal5_drw has 12 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432600K) : metal5_pin has 2 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432600K) : metal5_mask has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432728K) : metal5_filler has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432856K) : metal5_nofill has 0 polygons
2026-02-09 02:45:52 +0100: Memory Usage (432856K) : metal5_slit has 0 polygons
